country,year,region,PIP: Gini – all observations,WID: Top 1pc share – pretax – all observations,PIP: Gini – only matching observations,WID: Top 1pc share – pretax – only matching observations
Luxembourg,2015,W. Europe,32.92223286441645,10.62,32.92223286441645,10.62
Madagascar,1993,SS Africa,45.25569753110631,,,
Madagascar,2012,SS Africa,42.64818226834528,,,
Malaysia,1992,S & SE Asia,47.65372577755589,19.18,47.65372577755589,19.18
Malaysia,2015,S & SE Asia,41.06639837531249,14.87,41.06639837531249,14.87
Mali,1994,SS Africa,50.4412366929203,,,
Mali,2018,SS Africa,36.13692014891342,,,
Malta,1993,W. Europe,,8.16,,
Malta,2015,W. Europe,,10.63,,
Mauritania,1993,SS Africa,50.05155648735224,32.16,50.05155648735224,32.16
Mauritania,2014,SS Africa,32.619349882270136,10.75,32.619349882270136,10.75
Mexico,1992,LAC,52.611815684996174,,52.611815684996174,
Mexico,1993,LAC,,12.03,,12.03
Mexico,2015,LAC,,26.78,,26.78
Mexico,2016,LAC,47.67771275492158,,47.67771275492158,
Moldova,1993,EE & CA,,9.03,,
Moldova,2015,EE & CA,,11.34,,
Mongolia,1995,East Asia,33.195340198338094,14.84,33.195340198338094,14.84
Mongolia,2015,East Asia,,16.73,,16.73
Mongolia,2016,East Asia,32.34573282626243,,32.34573282626243,
Morocco,1990,MENA,39.20690340668367,,,
Morocco,2013,MENA,39.54850870115624,,,
Mozambique,1996,SS Africa,53.55986487733552,24.08,53.55986487733552,24.08
Mozambique,2014,SS Africa,53.99668162273381,31.11,53.99668162273381,31.11
Netherlands,1993,W. Europe,30.43498164067688,5.75,30.43498164067688,5.75
Netherlands,2015,W. Europe,28.24157950619425,6.88,28.24157950619425,6.88
New Zealand,1993,W. Offshoots,,9.86,,
New Zealand,2015,W. Offshoots,,10.96,,
Nicaragua,1993,LAC,57.35928516001907,,,
Nicaragua,2014,LAC,46.15629418573037,,,
Niger,1992,SS Africa,36.09754302825158,15.5,36.09754302825158,15.5
Niger,2014,SS Africa,34.27657603785816,11.6,34.27657603785816,11.6
Nigeria,1992,SS Africa,44.98405367710789,11.26,44.98405367710789,11.26
Nigeria,2015,SS Africa,35.879778661034514,,35.879778661034514,
Nigeria,2018,SS Africa,,11.59,,11.59
North Macedonia,1996,EE & CA,,10.22,,
North Macedonia,2015,EE & CA,,8.32,,
Norway,1991,W. Europe,25.227584653851657,,25.227584653851657,
Norway,1993,W. Europe,,8.12,,8.12
Norway,2015,W. Europe,27.49689569653887,9.97,27.49689569653887,9.97
Pakistan,1990,S & SE Asia,33.24866089481644,15.09,33.24866089481644,15.09
Pakistan,2015,S & SE Asia,31.291265822559776,17.26,31.291265822559776,17.26
Panama,1991,LAC,58.21961737501806,,,
Panama,2015,LAC,50.80666314561102,,,
Paraguay,1995,LAC,58.15903937444256,,,
Paraguay,2015,LAC,47.60590928201872,,,
Peru,1994,LAC,44.02398865397727,,,
Peru,2015,LAC,43.35640012823588,,,
Philippines,1994,S & SE Asia,42.88838747018618,19.33,42.88838747018618,19.33
Philippines,2015,S & SE Asia,40.35149924050956,17.2,40.35149924050956,17.2
Poland,1992,EE & CA,29.29856291374624,,29.29856291374624,
Poland,1993,EE & CA,,8.21,,8.21
Poland,2015,EE & CA,31.751535040780286,14.93,31.751535040780286,14.93
Portugal,1993,W. Europe,,9.59,,
Portugal,2015,W. Europe,,10.86,,
Romania,1992,EE & CA,25.46172793114104,,25.46172793114104,
Romania,1993,EE & CA,,8.42,,8.42
Romania,2015,EE & CA,35.91389061710718,16.689999999999998,35.91389061710718,16.689999999999998
Russia,1993,EE & CA,48.375737912852976,11.11,48.375737912852976,11.11
Russia,2015,EE & CA,37.74084155026237,18.6,37.74084155026237,18.6
Saint Lucia,1995,LAC,42.584380636496974,,,
Saint Lucia,2016,LAC,51.23330781386317,,,
Saudi Arabia,1993,MENA,,21.03,,
Saudi Arabia,2015,MENA,,21.15,,
Senegal,1994,SS Africa,41.44071198514567,,,
Senegal,2018,SS Africa,38.122472437144175,,,
Singapore,1993,S & SE Asia,,10.72,,
Singapore,2013,S & SE Asia,,13.76,,
Slovakia,1992,EE & CA,20.18657811939966,,,
Slovakia,2015,EE & CA,26.49165693807379,,,
Slovenia,1993,EE & CA,29.18499251551616,5.680000000000001,29.18499251551616,5.680000000000001
Slovenia,2015,EE & CA,25.40846455145272,7.109999999999999,25.40846455145272,7.109999999999999
South Africa,1993,SS Africa,59.33393638480528,,,
South Africa,2014,SS Africa,63.02607272842364,,,
South Korea,1993,East Asia,,8.450000000000001,,
South Korea,2015,East Asia,,11.76,,
Spain,1993,W. Europe,,10.99,,10.99
Spain,1995,W. Europe,36.65411992107588,,36.65411992107588,
Spain,2015,W. Europe,36.18141917496762,12.64,36.18141917496762,12.64
Sri Lanka,1995,S & SE Asia,35.39953909969581,16.16,35.39953909969581,16.16
Sri Lanka,2016,S & SE Asia,39.34577335702164,20.47,39.34577335702164,20.47
Sweden,1992,W. Europe,24.90873346361343,,24.90873346361343,
Sweden,1993,W. Europe,,8.61,,8.61
Sweden,2015,W. Europe,29.21019079394952,10.58,29.21019079394952,10.58
