,Entity,WID_region,sub-region,region_alt
108,Saint Kitts and Nevis,Latin America,Caribbean,Latin America
109,North Korea,East Asia,East Asia,East Asia
110,South Korea,East Asia,East Asia,East Asia
111,Kosovo,Europe,Eastern Europe,Eastern Europe & Central Asia
112,Kuwait,MENA,West Asia,MENA
113,Cayman Islands,Latin America,Caribbean,Latin America
114,Kazakhstan,Russia & Central Asia,Central Asia,Eastern Europe & Central Asia
115,Laos,South & South-East Asia,South-East Asia,South & South-East Asia
116,Lebanon,MENA,West Asia,MENA
117,Saint Lucia,Latin America,Caribbean,Latin America
118,Liechtenstein,Europe,Western Europe,Western Europe
119,Sri Lanka,South & South-East Asia,South Asia,South & South-East Asia
120,Liberia,Sub-Saharan Africa,Western Africa,Sub-Saharan Africa
121,Lesotho,Sub-Saharan Africa,South Africa,Sub-Saharan Africa
122,Lithuania,Europe,Eastern Europe,Eastern Europe & Central Asia
123,Luxembourg,Europe,Western Europe,Western Europe
124,Latvia,Europe,Eastern Europe,Eastern Europe & Central Asia
125,Libya,MENA,North Africa,MENA
126,Morocco,MENA,North Africa,MENA
127,Monaco,Europe,Western Europe,Western Europe
128,Moldova,Europe,Eastern Europe,Eastern Europe & Central Asia
129,Montenegro,Europe,Eastern Europe,Eastern Europe & Central Asia
130,Madagascar,Sub-Saharan Africa,East Africa,Sub-Saharan Africa
131,Marshall Islands,North America & Oceania,Oceania (excl. Australia and New Zealand),North America & Oceania
132,North Macedonia,Europe,Eastern Europe,Eastern Europe & Central Asia
133,Mali,Sub-Saharan Africa,Western Africa,Sub-Saharan Africa
134,Myanmar,South & South-East Asia,South-East Asia,South & South-East Asia
135,Mongolia,East Asia,East Asia,East Asia
136,Macao,East Asia,East Asia,East Asia
137,Northern Mariana Islands,North America & Oceania,Oceania (excl. Australia and New Zealand),North America & Oceania
138,Mauritania,Sub-Saharan Africa,West Africa,Sub-Saharan Africa
139,Montserrat,Europe,Caribbean,Europe
140,Malta,Europe,Western Europe,Western Europe
141,Mauritius,Sub-Saharan Africa,East Africa,Sub-Saharan Africa
142,Maldives,South & South-East Asia,South Asia,South & South-East Asia
143,Malawi,Sub-Saharan Africa,East Africa,Sub-Saharan Africa
144,Mexico,Latin America,Central America,Latin America
145,Malaysia,South & South-East Asia,South-East Asia,South & South-East Asia
146,Mozambique,Sub-Saharan Africa,East Africa,Sub-Saharan Africa
147,Namibia,Sub-Saharan Africa,South Africa,Sub-Saharan Africa
148,New Caledonia,North America & Oceania,Oceania (excl. Australia and New Zealand),North America & Oceania
149,Niger,Sub-Saharan Africa,West Africa,Sub-Saharan Africa
150,Nigeria,Sub-Saharan Africa,West Africa,Sub-Saharan Africa
