,Entity,WID_region,region_alt
153,Norway,Europe,Western Europe
154,Nepal,South & South-East Asia,South & South-East Asia
155,Nauru,North America & Oceania,North America & Oceania
156,Niue,North America & Oceania,North America & Oceania
157,New Zealand,North America & Oceania,North America & Oceania
158,Oman,MENA,MENA
159,Panama,Latin America,Latin America
160,Peru,Latin America,Latin America
161,French Polynesia,North America & Oceania,North America & Oceania
162,Papua New Guinea,North America & Oceania,North America & Oceania
163,Philippines,South & South-East Asia,South & South-East Asia
164,Pakistan,South & South-East Asia,South & South-East Asia
165,Poland,Europe,Eastern Europe & Central Asia
166,Saint Pierre and Miquelon,North America & Oceania,North America & Oceania
167,Puerto Rico,Latin America,Latin America
168,Palestine,MENA,MENA
169,Portugal,Europe,Western Europe
170,Palau,North America & Oceania,North America & Oceania
171,Paraguay,Latin America,Latin America
172,Qatar,MENA,MENA
173,Romania,Europe,Eastern Europe & Central Asia
174,Serbia,Europe,Eastern Europe & Central Asia
175,Russia,Russia & Central Asia,Eastern Europe & Central Asia
176,Rwanda,Sub-Saharan Africa,Sub-Saharan Africa
177,Saudi Arabia,MENA,MENA
178,Solomon Islands,North America & Oceania,North America & Oceania
179,Seychelles,Sub-Saharan Africa,Sub-Saharan Africa
180,Sudan,Sub-Saharan Africa,Sub-Saharan Africa
181,Sweden,Europe,Western Europe
182,Singapore,South & South-East Asia,South & South-East Asia
183,Saint Helena,Sub-Saharan Africa,Sub-Saharan Africa
184,Slovenia,Europe,Eastern Europe & Central Asia
185,Slovakia,Europe,Eastern Europe & Central Asia
186,Sierra Leone,Sub-Saharan Africa,Sub-Saharan Africa
187,San Marino,Europe,Western Europe
188,Senegal,Sub-Saharan Africa,Sub-Saharan Africa
189,Somalia,Sub-Saharan Africa,Sub-Saharan Africa
190,Suriname,Latin America,Latin America
191,South Sudan,Sub-Saharan Africa,Sub-Saharan Africa
192,Sao Tome and Principe,Sub-Saharan Africa,Sub-Saharan Africa
193,USSR,,
194,El Salvador,Latin America,Latin America
195,Sint Maarten (Dutch part),Latin America,Latin America
196,Syria,MENA,MENA
197,Eswatini,Sub-Saharan Africa,Sub-Saharan Africa
198,Turks and Caicos Islands,Latin America,Latin America
199,Chad,Sub-Saharan Africa,Sub-Saharan Africa
200,Togo,Sub-Saharan Africa,Sub-Saharan Africa
201,Thailand,South & South-East Asia,South & South-East Asia
202,Tajikistan,Russia & Central Asia,Eastern Europe & Central Asia
203,Tokelau,North America & Oceania,North America & Oceania
204,Timor,South & South-East Asia,South & South-East Asia
205,Turkmenistan,Russia & Central Asia,Eastern Europe & Central Asia
206,Tunisia,MENA,MENA
207,Tonga,North America & Oceania,North America & Oceania
208,Turkey,MENA,MENA
209,Trinidad and Tobago,Latin America,Latin America
210,Tuvalu,North America & Oceania,North America & Oceania
211,Taiwan,East Asia,East Asia
212,Tanzania,Sub-Saharan Africa,Sub-Saharan Africa
213,Ukraine,Russia & Central Asia,Eastern Europe & Central Asia
214,Uganda,Sub-Saharan Africa,Sub-Saharan Africa
215,United States,North America & Oceania,North America & Oceania
216,Uruguay,Latin America,Latin America
217,Uzbekistan,Russia & Central Asia,Eastern Europe & Central Asia
218,Vatican,Europe,Western Europe
219,Saint Vincent and the Grenadines,Latin America,Latin America
220,Venezuela,Latin America,Latin America
221,British Virgin Islands,Latin America,Latin America
222,United States Virgin Islands,Latin America,Latin America
223,Vietnam,South & South-East Asia,South & South-East Asia
224,Vanuatu,North America & Oceania,North America & Oceania
225,Wallis and Futuna,North America & Oceania,North America & Oceania
226,Samoa,North America & Oceania,North America & Oceania
227,Channel Islands,Europe,Western Europe
228,Yemen,MENA,MENA
229,Yugoslavia,Europe,Eastern Europe & Central Asia
230,South Africa,Sub-Saharan Africa,Sub-Saharan Africa
231,Zambia,Sub-Saharan Africa,Sub-Saharan Africa
232,Zimbabwe,Sub-Saharan Africa,Sub-Saharan Africa
233,Zanzibar,Sub-Saharan Africa,Sub-Saharan Africa
